"Name","Position","Team","ADP","ETR_Rank","Delta","Pos_Rank"
"Lamar Jackson","QB","BAL","2.1","1","1.1","QB01"
"Josh Allen","QB","BUF","1.4","2","-0.6","QB02"
"Jayden Daniels","QB","WAS","3.2","3","0.2","QB03"
"Brock Bowers","TE","LV","10.6","4","6.6","TE01"
"Ja'Marr Chase","WR","CIN","4.6","5","-0.4","WR01"
"Jalen Hurts","QB","PHI","5.2","6","-0.8","QB04"
"Bijan Robinson","RB","ATL","6.6","7","-0.4","RB01"
"Joe Burrow","QB","CIN","6.2","8","-1.8","QB05"
"Saquon Barkley","RB","PHI","8.5","9","-0.5","RB02"
"Christian McCaffrey","RB","SF","19.4","10","9.4","RB03"
"Justin Jefferson","WR","MIN","10.8","11","-0.2","WR02"
"Patrick Mahomes","QB","KC","11.3","12","-0.7","QB06"
"Trey McBride","TE","ARI","19.0","13","6.0","TE02"
"Jahmyr Gibbs","RB","DET","11.8","14","-2.3","RB04"
"CeeDee Lamb","WR","DAL","13.4","15","-1.6","WR03"
"Kyler Murray","QB","ARI","24.7","16","8.7","QB07"
"Baker Mayfield","QB","TB","16.9","17","-0.1","QB08"
"Puka Nacua","WR","LA","18.2","18","0.2","WR04"
"Amon-Ra St. Brown","WR","DET","20.5","19","1.5","WR05"
"Ashton Jeanty","RB","LV","13.0","20","-7.0","RB05"
"Brock Purdy","QB","SF","34.1","21","13.1","QB09"
"Caleb Williams","QB","CHI","29.2","22","7.2","QB10"
"Malik Nabers","WR","NYG","16.7","23","-6.3","WR06"
"Nico Collins","WR","HOU","25.6","24","1.6","WR07"
"Justin Fields","QB","NYJ","34.9","25","9.9","QB11"
"Bo Nix","QB","DEN","21.7","26","-4.3","QB12"
"Brian Thomas Jr.","WR","JAX","24.1","27","-3.0","WR08"
"Dak Prescott","QB","DAL","40.6","28","12.6","QB13"
"Derrick Henry","RB","BAL","21.3","29","-7.7","RB06"
"Jared Goff","QB","DET","32.6","30","2.6","QB14"
"J.J. McCarthy","QB","MIN","54.2","31","23.2","QB15"
"Bucky Irving","RB","TB","33.4","32","1.4","RB07"
"Justin Herbert","QB","LAC","34.6","33","1.6","QB16"
"De'Von Achane","RB","MIA","24.2","34","-9.8","RB08"
"Drake Maye","QB","NE","38.0","35","3.0","QB17"
"C.J. Stroud","QB","HOU","45.5","36","9.5","QB18"
"Drake London","WR","ATL","31.2","37","-5.8","WR09"
"Jordan Love","QB","GB","43.9","38","5.9","QB19"
"A.J. Brown","WR","PHI","30.3","39","-8.7","WR10"
"George Kittle","TE","SF","39.8","40","-0.2","TE03"
"Josh Jacobs","RB","GB","32.0","41","-9.0","RB09"
"Trevor Lawrence","QB","JAX","49.0","42","7.0","QB20"
"Ladd McConkey","WR","LAC","35.5","43","-7.5","WR11"
"Chase Brown","RB","CIN","46.7","44","2.7","RB10"
"Tua Tagovailoa","QB","MIA","64.1","45","19.1","QB21"
"Michael Penix Jr.","QB","ATL","56.2","46","10.2","QB22"
"Jonathan Taylor","RB","IND","32.3","47","-14.7","RB11"
"Breece Hall","RB","NYJ","44.1","48","-3.9","RB12"
"Kyren Williams","RB","LA","39.4","49","-9.6","RB13"
"Cam Ward","QB","TEN","73.1","50","23.1","QB23"
"Sam LaPorta","TE","DET","59.3","51","8.3","TE04"
"Bryce Young","QB","CAR","64.1","52","12.1","QB24"
"Omarion Hampton","RB","LAC","55.4","53","2.4","RB14"
"Matthew Stafford","QB","LA","57.9","54","3.9","QB25"
"Tee Higgins","WR","CIN","43.2","55","-11.8","WR12"
"James Cook","RB","BUF","52.2","56","-3.8","RB15"
"Kenneth Walker III","RB","SEA","64.7","57","7.7","RB16"
"Geno Smith","QB","LV","65.8","58","7.8","QB26"
"Rashee Rice","WR","KC","63.6","59","4.6","WR13"
