"Name","Pos","Team","ADP","ETR_Rank","Delta","Pos_Rank","id"
"Lamar Jackson","QB","BAL","2.0","1","1.0","QB01","e50c80ef-3cac-41c1-8695-f77a3a24223c"
"Josh Allen","QB","BUF","1.3","2","-0.7","QB02","70dc11ed-730a-4985-9641-d243ac7664d2"
"Jayden Daniels","QB","WAS","3.1","3","0.1","QB03","fac93a1f-2bef-4cb8-8ad1-fdcb87d1bb8d"
"Saquon Barkley","RB","PHI","7.5","4","3.5","RB01","cbc6cb47-6e97-44a3-986c-195d2835e37e"
"Jalen Hurts","QB","PHI","4.3","5","-0.7","QB04","105bcb5e-9d45-4bad-99b1-f0b89d45cc58"
"Bijan Robinson","RB","ATL","8.1","6","2.1","RB02","92c1123f-81ef-405e-bcec-35c56b82dc46"
"Ja'Marr Chase","WR","CIN","5.6","7","-1.4","WR01","33ee9330-5178-43c1-8999-9f2814bea70a"
"Joe Burrow","QB","CIN","5.8","8","-2.2","QB05","83a17be6-f7df-4600-a6b8-9f8e737fb614"
"Jahmyr Gibbs","RB","DET","11.2","9","2.2","RB03","7dec90b6-d409-44e9-b297-6d6d0918f607"
"Christian McCaffrey","RB","SF","15.0","10","5.0","RB04","ea917a4b-d4c9-42fe-8423-5c7d025e5a3c"
"Justin Jefferson","WR","MIN","9.7","11","-1.3","WR02","51fe5951-680f-42c5-a985-feedfd614012"
"Ashton Jeanty","RB","LV","16.8","12","4.8","RB05","da7f810a-1b2a-4f2c-b5f8-6cf99e7c19c4"
"Kyler Murray","QB","ARI","14.8","13","1.8","QB06","923a191d-1fa5-462d-9780-5079171eef3b"
"Patrick Mahomes","QB","KC","10.0","14","-4.0","QB07","38813bba-1495-4060-961f-56d41571b401"
"Derrick Henry","RB","BAL","18.8","15","3.8","RB06","b35dfe30-0cf3-43e7-a53b-968e5c742e9a"
"CeeDee Lamb","WR","DAL","12.8","16","-3.2","WR03","dfa95b21-8772-454b-b4e8-9bc0d86abf4a"
"Baker Mayfield","QB","TB","13.3","17","-3.7","QB08","26b9f823-3025-4ba5-b84c-ef728fa976ff"
"Caleb Williams","QB","CHI","20.8","18","2.8","QB09","f7dbf4ee-3867-4621-9b4f-3f9134f3c517"
"Puka Nacua","WR","LA","20.1","19","1.1","WR04","2b7321a5-c0f4-4e51-a4cc-bb6ea4702b15"
"Amon-Ra St. Brown","WR","DET","22.9","20","2.9","WR05","a98e2500-528e-49dc-b23d-d86dad92e9cb"
"Brock Purdy","QB","SF","24.0","21","3.0","QB10","028d778e-17a6-4f5a-b185-fffc64a5f5e7"
"Justin Fields","QB","NYJ","21.4","22","-0.6","QB11","9f9cc41c-ac2a-43bb-a06f-9c08a044ea79"
"Nico Collins","WR","HOU","26.0","23","3.0","WR06","8de1ef86-cb61-447d-835d-b19a355a254a"
"Bo Nix","QB","DEN","16.0","24","-8.0","QB12","2f639bbb-6fdc-4785-b723-08320977c347"
"Malik Nabers","WR","NYG","22.3","25","-2.7","WR07","60a154d6-7c9d-4651-95bb-c37f58b71939"
"Bucky Irving","RB","TB","36.1","26","10.1","RB07","72ea89b3-8f2e-4d67-85d2-50930a3da79b"
"Brian Thomas Jr.","WR","JAX","27.2","27","0.2","WR08","4a04b3a6-b061-4c49-850a-0136f6f623c9"
"Drake Maye","QB","NE","31.4","28","3.4","QB13","ee325c32-6a73-4618-99e6-8de640d988ce"
"De'Von Achane","RB","MIA","27.4","29","-1.6","RB08","897634d6-5e2c-4b90-bcc6-ca61eaf43e4c"
"Dak Prescott","QB","DAL","28.2","30","-1.8","QB14","faa8973c-c5f8-4b10-99be-2afdae93d5df"
"Jared Goff","QB","DET","27.0","31","-4.0","QB15","8ae78dc6-f2f7-4a34-97ac-75b04a39d649"
"J.J. McCarthy","QB","MIN","38.7","32","6.7","QB16","ef2a7c8b-1438-4226-94cc-58d41c9a2dcc"
"Brock Bowers","TE","LV","31.4","33","-1.6","TE01","9fbc980b-d66a-4d3d-9b0c-3b87b286528b"
"Josh Jacobs","RB","GB","41.7","34","7.7","RB09","eb6fddfa-2006-4e79-afc2-a63ae2b84d9a"
"Justin Herbert","QB","LAC","31.3","35","-3.7","QB17","afcce3a4-cf6b-40b5-9982-511409fddfba"
"Jonathan Taylor","RB","IND","35.6","36","-0.4","RB10","d1ee2c4a-a481-4eed-9df3-1fcfc4f3a73b"
"A.J. Brown","WR","PHI","38.8","37","1.8","WR09","0e99289e-eea9-4f2f-b405-3ca49e9bd5a6"
"Drake London","WR","ATL","33.6","38","-4.4","WR10","b463c0ad-4fe8-40c7-a163-0c0958c85a1d"
"C.J. Stroud","QB","HOU","37.3","39","-1.7","QB18","583185b0-13d6-444f-a748-9de7bc307412"
"Trevor Lawrence","QB","JAX","37.7","40","-2.3","QB19","3548e773-f94c-42f3-a662-4ce37081de00"
"Jordan Love","QB","GB","35.1","41","-5.9","QB20","1d44cf82-cf1f-4a24-883b-b10bdf8af6e1"
"Chase Brown","RB","CIN","45.3","42","3.3","RB11","e48d04b2-703f-4a82-af44-684ccd54bd74"
"Kyren Williams","RB","LA","48.6","43","5.6","RB12","cccbd182-f963-4f1e-a674-1bb6f9fa9b94"
"Ladd McConkey","WR","LAC","40.7","44","-3.3","WR11","5d876e0c-cb72-4f61-b39e-403261e78c40"
"James Cook","RB","BUF","57.0","45","12.0","RB13","ff01b801-a885-4524-ab9a-664b10c9112c"
"Tua Tagovailoa","QB","MIA","53.3","46","7.3","QB21","e5df88b9-0a48-4e87-a596-74fb4c390adb"
"Michael Penix Jr.","QB","ATL","42.9","47","-4.1","QB22","e1b307f5-34a8-43dd-a47b-c5296a180f7e"
"Breece Hall","RB","NYJ","50.3","48","2.3","RB14","afafe695-08f6-4c66-b329-b7d038ceaf22"
"Cam Ward","QB","TEN","56.6","49","7.6","QB23","6fdb19b3-65eb-4f4a-b35e-7e5e49e0ecb7"
"Trey McBride","TE","ARI","45.1","50","-4.9","TE02","e960f18c-c7a7-419b-84f4-7c2bb0b4086e"
"Bryce Young","QB","CAR","48.4","51","-2.6","QB24","8dc9a2cb-fa0f-476f-be8b-e015313dd500"
"Omarion Hampton","RB","LAC","61.6","52","9.6","RB15","7df06ac7-3a1d-4f2b-8913-9ffaddf72ebe"
